	  68.6,        52.9,        68.6,        68.6,		31
      58.6,        60.0,        70.0,        68.6,
      70.0,        58.6,        61.4,        60.0,
      67.1,        60.0,        65.7,        67.1,
      60.0,        60.0,        61.4,        65.7,
      71.4,        61.4,        67.1,        62.9,
      68.6,        60.0,        65.7,        70.0,
      67.1,        57.1,        65.7,        68.6,
      68.6,        55.7,        67.1,        67.1,
      64.3,        58.6,        72.9,        60.0,	  
	  65.7,        48.6,        61.4,        64.3,      32
      60.0,        54.3,        67.1,        62.9,
      60.0,        67.1,        57.1,        55.7,
      65.7,        62.9,        67.1,        60.0,
      64.3,        61.4,        67.1,        64.3,
      68.6,        67.1,        70.0,        60.0,
      72.9,        61.4,        57.1,        71.4,
      68.6,        58.6,        65.7,        64.3,
      70.0,        55.7,        60.0,        70.0,
      70.0,        58.6,        60.0,        64.3,	  
	  65.7,        60.0,        61.4,        61.4,      33
      62.9,        61.4,        72.9,        65.7,
      67.1,        58.6,        71.4,        64.3,
      64.3,        55.7,        74.3,        67.1,
      62.9,        62.9,        65.7,        68.6,
      60.0,        61.4,        65.7,        62.9,
      64.3,        64.3,        65.7,        57.1,
      62.9,        62.9,        61.4,        67.1,
      65.7,        47.1,        75.7,        65.7,
      72.9,        52.9,        57.1,        62.9,
	  67.1,        61.4,        65.7,        58.6,      34
      68.6,        61.4,        72.9,        67.1,
      65.7,        60.0,        64.3,        72.9,
      65.7,        64.3,        70.0,        60.0,
      75.7,        55.7,        67.1,        64.3,
      70.0,        57.1,        62.9,        74.3,
      64.3,        67.1,        68.6,        68.6,
      62.9,        60.0,        62.9,        62.9,
      62.9,        54.3,        67.1,        70.0,
      61.4,        67.1,        65.7,        60.0,
	  60.0,        65.7,        61.4,        57.1,		35
      67.1,        57.1,        68.6,        67.1,
      58.6,        58.6,        61.4,        60.0,
      62.9,        54.3,        61.4,        74.3,
      57.1,        60.0,        71.4,        64.3,
      64.3,        64.3,        58.6,        72.9,
      71.4,        57.1,        71.4,        72.9,
      65.7,        61.4,        72.9,        65.7,
      67.1,        58.6,        67.1,        72.9,
      71.4,        60.0,        64.3,        55.7,
