      67.1,        62.9,        65.7,        64.3,      24
      67.1,        54.3,        65.7,        61.4,
      65.7,        55.7,        61.4,        67.1,
      70.0,        55.7,        62.9,        65.7,
      60.0,        64.3,        71.4,        58.6,
      61.4,        57.1,        65.7,        70.0,
      65.7,        47.1,        61.4,        72.9,
      58.6,        60.0,        58.6,        62.9,
      72.9,        60.0,        50.0,        57.1,
      65.7,        60.0,        55.7,        68.6,	  
	  60.0,        51.4,        62.9,        64.3,      25
      68.6,        64.3,        64.3,        68.6,
      65.7,        52.9,        70.0,        55.7,
      68.6,        55.7,        61.4,        71.4,
      64.3,        57.1,        61.4,        58.6,
      68.6,        61.4,        65.7,        68.6,
      58.6,        54.3,        62.9,        64.3,
      68.6,        60.0,        68.6,        64.3,
      60.0,        60.0,        67.1,        67.1,
      62.9,        57.1,        67.1,        67.1,
      57.1,        58.6,        52.9,        64.3,      26
      62.9,        65.7,        61.4,        65.7,
      61.4,        58.6,        65.7,        64.3,
      58.6,        67.1,        65.7,        58.6,
      62.9,        61.4,        65.7,        61.4,
      65.7,        67.1,        67.1,        62.9,
      60.0,        57.1,        61.4,        61.4,
      64.3,        60.0,        60.0,        65.7,
      62.9,        58.6,        64.3,        64.3,
      64.3,        58.6,        55.7,        58.6,
	  75.7,        55.7,        58.6,        62.9,      27
      68.6,        47.1,        70.0,        68.6,
      68.6,        52.9,        68.6,        65.7,
      62.9,        58.6,        62.9,        67.1,
      61.4,        55.7,        64.3,        61.4,
      71.4,        55.7,        67.1,        71.4,
      55.7,        67.1,        77.1,        65.7,
      65.7,        57.1,        62.9,        58.6,
      61.4,        55.7,        57.1,        60.0,
      58.6,        57.1,        62.9,        65.7,
	  65.7,        64.3,        65.7,        64.3,       28  
      60.0,        65.7,        68.6,        65.7,
      74.3,        62.9,        65.7,        64.3,
      67.1,        57.1,        68.6,        57.1,
      65.7,        57.1,        62.9,        64.3,
      68.6,        58.6,        67.1,        64.3,
      67.1,        57.1,        65.7,        68.6,
      64.3,        65.7,        64.3,        65.7,
      58.6,        55.7,        61.4,        57.1,
      67.1,        57.1,        68.6,        61.4,
	  68.6,        55.7,        61.4,        55.7,       29
      68.6,        61.4,        65.7,        65.7,
      61.4,        61.4,        64.3,        65.7,
      68.6,        61.4,        61.4,        68.6,
      68.6,        58.6,        72.9,        68.6,
      65.7,        57.1,        55.7,        61.4,
      64.3,        57.1,        71.4,        71.4,
      65.7,        61.4,        58.6,        64.3,
      67.1,        64.3,        64.3,        58.6,
      64.3,        52.9,        60.0,        62.9,
	  61.4,        58.6,        60.0,        65.7,       30
      65.7,        60.0,        65.7,        68.6,
      60.0,        67.1,        71.4,        62.9,
      61.4,        58.6,        62.9,        60.0,
      64.3,        54.3,        64.3,        60.0,
      68.6,        62.9,        64.3,        58.6,
      65.7,        61.4,        58.6,        64.3,
      58.6,        52.9,        67.1,        62.9,
      71.4,        60.0,        65.7,        61.4,
      65.7,        51.4,        64.3,        67.1,
	  57.1,        47.1,        62.9,        67.1,       31   
      64.3,        57.1,        62.9,        62.9,
      60.0,        61.4,        65.7,        62.9,
      57.1,        57.1,        72.9,        58.6,
      68.6,        61.4,        60.0,        61.4,
      62.9,        54.3,        57.1,        64.3,
      71.4,        61.4,        67.1,        70.0,
      68.6,        60.0,        54.3,        64.3,
      61.4,        55.7,        70.0,        58.6,
      67.1,        58.6,        62.9,        57.1,
	  64.3,        60.0,        61.4,        67.1,       32
      68.6,        68.6,        61.4,        67.1,
      62.9,        52.9,        62.9,        64.3,
      71.4,        61.4,        67.1,        68.6,
      61.4,        58.6,        70.0,        60.0,
      65.7,        65.7,        62.9,        62.9,
      67.1,        58.6,        65.7,        61.4,
      65.7,        51.4,        62.9,        60.0,
      65.7,        54.3,        75.7,        65.7,
      60.0,        62.9,        72.9,        67.1,
	  67.1,        57.1,        60.0,        54.3,      33
      61.4,        60.0,        68.6,        65.7,
      58.6,        55.7,        74.3,        61.4,
      65.7,        65.7,        62.9,        62.9,
      62.9,        67.1,        65.7,        65.7,
      58.6,        60.0,        71.4,        57.1,
      61.4,        61.4,        61.4,        67.1,
      58.6,        62.9,        55.7,        62.9,
      65.7,        65.7,        77.1,        64.3,
      61.4,        58.6,        70.0,        64.3,
	  52.9,        52.9,        65.7,        61.4,     34
      74.3,        55.7,        72.9,        61.4,
      61.4,        62.9,        70.0,        62.9,
      65.7,        54.3,        64.3,        55.7,
      62.9,        61.4,        64.3,        60.0,
      64.3,        54.3,        61.4,        67.1,
      60.0,        50.0,        61.4,        68.6,
      72.9,        57.1,        62.9,        58.6,
      68.6,        52.9,        57.1,        65.7,
      67.1,        62.9,        64.3,        64.3,
	  64.3,        51.4,        61.4,        64.3,      35
      55.7,        62.9,        71.4,        58.6,
      58.6,        60.0,        74.3,        60.0,
      65.7,        54.3,        64.3,        64.3,
      61.4,        50.0,        60.0,        51.4,
      70.0,        58.6,        68.6,        64.3,
      60.0,        58.6,        60.0,        65.7,
      60.0,        50.0,        55.7,        60.0,
      60.0,        62.9,        60.0,        64.3,
      67.1,        57.1,        58.6,        62.9,
	  68.6,        54.3,        60.0,        64.3,       36
      62.9,        61.4,        65.7,        62.9,
      57.1,        54.3,        64.3,        54.3,
      57.1,        58.6,        52.9,        67.1,
      57.1,        58.6,        64.3,        60.0,
      54.3,        58.6,        68.6,        67.1,
      65.7,        55.7,        61.4,        61.4,
      67.1,        55.7,        70.0,        67.1,
      71.4,        60.0,        61.4,        58.6,
      58.6,        60.0,        68.6,        60.0,
